height,timestamp,early_block_hash,late_block_hash,early_timestamp,late_timestamp,late_wins,is_gamma_case
3488694,2025-08-29 23:08:08,af56aa78bdebe25f5d1f204cc7e34afbaf29f241ff2bfc18bef24121ad45745a,78fbfc5522907c9e3eee499ce9cf2fe5074d79abac2e355592224f30a836915b,2025-08-29 23:07:48,2025-08-29 23:08:08,False,False
3490616,2025-09-01 14:04:01,de0e9048d09166e575de51333cbedb2a96da26717bdddc9f56e8f25918dc4466,efd57d93504a47056dc1efbf7c157ae7304acd6848bc37b40ee11387843e9038,2025-09-01 14:03:58,2025-09-01 14:04:01,False,False
3491865,2025-09-03 07:46:37,5b52d789ccce9f042467ccfa49ab8f5cb1f3ad6e016ee42394f898057dd15b24,7de2b382c6b4a1e3582d9d33857bb58605c25f947f55064a8beee23bd5a44a90,2025-09-03 07:46:35,2025-09-03 07:46:37,True,True
3493036,2025-09-05 00:25:06,bc3f9c9f102619d3126389c41e4e68a3643a43a629a3d0afe0dfae6e32466e61,e7c070ecf93f8875c156de1fd612ba7ad7cda4b0b343ad860ead3791cdb17bd6,2025-09-05 00:23:49,2025-09-05 00:25:06,False,False
3494212,2025-09-06 15:55:22,c9f9db6a0c1195243a8e74e1fe252f84a3d1cbe72682594eef974470b76a299b,866733c5271af5649608cf58482e30539642d3496a99bdd0714cfec216ad9097,2025-09-06 15:55:21,2025-09-06 15:55:22,True,True
3496117,2025-09-09 07:53:39,95e960cad0c06300e7c9a4f2504e07d6335fdabf502657a9c61d7d4286904dd5,6ec577b0e3bc51bdc09fd544644e34eda33b2f7b2707711743b7cb2bdfe9010f,2025-09-09 07:52:39,2025-09-09 07:53:39,False,False
3497530,2025-09-11 07:14:30,f46720ef11bd35dd4e5bb4d7b92da36679bb70496c77c1968ebf51a814db01c1,d08f8c79d10a99844d90bd7a2d1320dd244294386518323c0f87600c2ed44038,2025-09-11 07:14:26,2025-09-11 07:14:30,True,True
3497833,2025-09-11 16:37:33,e19a328a2e514b5c96959608e278cebc06b11f60097ca6d0f8831934595788e7,cd0d0778bf5e4b995607cf180761fd67c072fb06b348c51151e4e43eb370fcca,2025-09-11 16:37:33,2025-09-11 16:37:33,False,False
3498322,2025-09-12 09:46:06,2c6896e33c3ac6662d35a2fe5b5fab449d9fade0e5fe47624ec3337ce80a4632,5a110c0773202125b15ef069f90d462c60c7fce780bf894035e665239571d6bc,2025-09-12 09:46:03,2025-09-12 09:46:06,False,False
3498989,2025-09-13 08:08:05,77376b06753f9fea8b55c25bdeabde7eecaadd78d481e521ae17f9139c431555,79824e359c7094ccf7502a58a1ed5f8a703941cde7f05d2ffe4713fcb55b50e5,2025-09-13 08:08:02,2025-09-13 08:08:05,False,False
3499463,2025-09-13 22:51:01,07a4ab4e67faf1ce86351cda6618ed112705c8c2fed1c231e2fa87c23dcd561b,58bb9b8688a13aa98fb0b65e035ff5c2e554549b0d0e3551aa5e62e8295d413a,2025-09-13 22:50:58,2025-09-13 22:51:01,False,False
3500729,2025-09-15 14:55:50,f6b1e141c68f409230518ab14576932406140f7588207bc9f1cf6a6f6c4c9d68,003f3b14e0af9e6435251c01a9061fb8c4f77f5b84cb3f07a5a6f9787b4afdb7,2025-09-15 14:55:25,2025-09-15 14:55:50,False,False
3500791,2025-09-15 16:24:50,7d2dddc01248d9b2f27f0c7713a76e090400785ca3a7ce2b3b334f3f9129711f,eb0f1a85f4ce43048117480b1653831fc680beb15c377a9adbde8d77bfe4bbc6,2025-09-15 16:24:46,2025-09-15 16:24:50,False,False
3500860,2025-09-15 18:01:51,77e4c8626a0fe7c0068d1f3957041198659bb51f64b8664cda69321b73428ff5,e5589f98b39973542e9c5de6753a38381e9e172686af7cdacebaa555afe0fdf1,2025-09-15 18:01:51,2025-09-15 18:01:51,False,False
3501311,2025-09-16 10:14:40,c8dfe487c0b16662cd70404769b9d28c443395e9f03b3321d3de4539ee1fef41,6fed4634889436b8badfe4b7fd1d3bca54b95cdea76f866b3aa4c726f707052e,2025-09-16 10:14:38,2025-09-16 10:14:40,False,False
3501708,2025-09-17 00:31:16,34fb55343b65e90eedbaef97ec6eaac68d5be3d7642b5adf39759da7b2af985c,7b2ffde36251f256e48f5afc5712d97022120473398af85607262e8ae68f7648,2025-09-17 00:25:55,2025-09-17 00:31:16,False,False
3501794,2025-09-17 04:10:24,718acb72bbb73d100c8848a386f24d8c05dd47bfbd251f02738c6d65495acb42,7fd10c95dc04db536b5411d7104f0d2ae52c1906d169f3d10a7fe9ab0fd3300d,2025-09-17 04:10:11,2025-09-17 04:10:24,True,True
3501952,2025-09-17 09:33:27,4ba3303832232b0d754b18e627b3a0b95691b13dddbf390613a88809447aef46,aeeec5bcfc55df9136e80d73bcd984918def97790e535440d30fccbb814f7131,2025-09-17 09:32:17,2025-09-17 09:33:27,True,True
3501996,2025-09-17 11:05:51,428b0cb5d1207d9e41bf7d79d6bf4896ed4ec4a81b72828db77da381440a7d7d,21d9ec02c901a53e62f754dca003585df5efe38c387f66447bb3e3414fc82d9c,2025-09-17 11:05:44,2025-09-17 11:05:51,False,False
3502069,2025-09-17 13:06:48,76f734598482132b2ce98d0957c3b802b8a90a2ba18d576ed6aa103b06fcbb4b,38df359a21e80fd59c27401981078731fa812328c4f96f3e2da25d6a3b9a1c91,2025-09-17 13:06:34,2025-09-17 13:06:48,True,True
3503584,2025-09-19 15:10:41,06f7b52502f930c4f873e542ceee9a5b02e808184c08cae1d908679bbfc7b1e5,2d67554d4e7d836c2c40912683ec1ed213532d899116d89eea1e834bac849cc8,2025-09-19 15:10:32,2025-09-19 15:10:41,True,True
3503749,2025-09-19 21:20:11,ddb6c304e0bfd9ec6d2c6a4c04708df4312aa9479ef00e5a48beaf00a18b20c8,a1eb7d67c0e216947ec16401b2b1a6fc527e1d5ee79d51265849379fc8fc3548,2025-09-19 21:20:01,2025-09-19 21:20:11,False,False
3503856,2025-09-20 01:13:01,b506d9fb647fdee83eaf697d470c49e08a21e2b377402f05586afba8b3d6f14a,8507aba24b373c352983f22699e0dcd431b7e933886f94a081db07d49fcffb92,2025-09-20 01:13:01,2025-09-20 01:13:01,False,False
3504370,2025-09-20 17:00:03,c9817e4b80bce90bef015215f1f984322bd6c9c2498b7e429eaebdda05df2c8a,115fd428e8179c66e20acf8f96feec4e3db3c3e7104ef4302777519c4e3857ad,2025-09-20 16:59:53,2025-09-20 17:00:03,False,False
3504523,2025-09-20 21:13:26,448f8fc258cefd189386b2b304a9ae8c6befc48f6a8deeb0328993470faea16a,2a901191ee20537e709d488e8b79dafa60a044f9eff556170fd9179949494f0b,2025-09-20 21:13:26,2025-09-20 21:13:26,False,False
3504585,2025-09-20 23:05:18,b4cc066e2db24916d42587afab1999fe2d839f773057657a577102778896bbca,8bbefab0582917445814a2affe44e9494cf68209c30326cffb176699f4ca7abc,2025-09-20 23:01:15,2025-09-20 23:05:18,True,True
3504753,2025-09-21 04:37:41,ec946d4f313411ad91fd38df12d8fb0aceff49e98f93a28ee88e5088a430f7a8,28252dfec840b3428fdebe603f423186ce5b45691bb56b8c6ac4714b33ec606a,2025-09-21 04:37:10,2025-09-21 04:37:41,False,False
3505246,2025-09-21 23:39:36,2a3af61f13907a25af31548752e7f2a84d4aeb0e60bc5ac4c57f3d85fd5f076e,b34406e64427c251ea1fb55acdb634c4bcb9afe89c32c8326844c8ab9eb4221f,2025-09-21 23:38:53,2025-09-21 23:39:36,False,False
3505938,2025-09-22 21:06:23,bcde18bccd85b129824102764e8459271e2cecd03ff2b7cca9f2cbf113597716,4d6f2552caa0749e151dae9ba94777e416a4626b9c839db8da3e4965f2741369,2025-09-22 21:06:20,2025-09-22 21:06:23,True,True
3506529,2025-09-23 17:22:03,e38c2fcc3938574e6d9359d42965c4cf1db9182773163220e4effc18edad7007,a89f30976a51d6a38d32ab8ad267533332264fd9051cdccb8840194bfd3d2d9d,2025-09-23 17:21:59,2025-09-23 17:22:03,False,False
3507082,2025-09-24 13:24:37,5c268a818ddf0885b32b057907c2a56fa3ae98c220f35eab6c5ce45e9e94ad90,95c6406f5acb6225cd9bd259511891dda0586fa9948b234ca2a5f9cebd16b282,2025-09-24 13:24:26,2025-09-24 13:24:37,True,True
3509183,2025-09-27 12:06:29,310a09015519f6a126f9305e031d63ea2351608eb078cfe1e9e2b006697b6adb,d6ea0629a4b39c200f5ce87ff73f8fd2e4e43dea1f7ad8f43ac9fe0ee16ebc05,2025-09-27 12:06:28,2025-09-27 12:06:29,False,False
3510973,2025-09-29 21:52:27,80f4d3e94efc360bc712fc0f967ecf94c8f76618cf87466b264906f8eaac08b6,057a5a290184f46b6cd1da190d8147e0ff5a70c896ef7196dfdc6ad057abc824,2025-09-29 21:52:22,2025-09-29 21:52:27,True,True
3513677,2025-10-03 16:49:28,76137383db67a5a4b6aa189a9169633d75a58cb6176101c46373d8b49fa12cc6,24aa612feb2c24f58234589ef14c9bc210acf9d45f0eb7eb9bb9a66e83f39964,2025-10-03 16:49:27,2025-10-03 16:49:28,True,True
3515462,2025-10-06 06:17:08,1d5b63bc6280e2e50b236281dc7499ad002461ef5148ff426c37e9a2b4da59d8,82d1ca4421b302467f49877431a04bb6a7f44e4c8cc4abcb71b2bce00d4be119,2025-10-06 06:16:57,2025-10-06 06:17:08,True,True
3516321,2025-10-07 12:08:11,c4d36d20a863b3a6251e78df602d60fc79ac76f75f5b8ee15ca9a3e891c2e5b5,ef40849dac8fe5059f8a2fb87dbca0e3d43f83fb84d67bc3a06ae00848c6959f,2025-10-07 12:08:04,2025-10-07 12:08:11,False,False
3516323,2025-10-07 12:11:10,d447f251b1bea1ee2c43aeddc03b0418c781ddadb2a365118d33a7aec51e6f31,3fc20a3397ccc171e08fd99b6d9d29c7c68441ccf98e918d82244928aef1e879,2025-10-07 12:11:01,2025-10-07 12:11:10,True,True
3516335,2025-10-07 12:33:03,1ae8ac90465c377c214cdd762698e535b8edeaa1ec98a1912dcda01f1767436c,99f07a9150c8ce2091742cbe07aa81c14722769e09c70245a63f075018a24f01,2025-10-07 12:32:18,2025-10-07 12:33:03,True,True
3516337,2025-10-07 12:36:23,dd1669c2daf7757cb3306b66e77ff02567115646c1924ea10247aee1ee3e3300,289a5d98abfbe9029235505ddfb78bdbf52d651afab310ec3c68a525c2292459,2025-10-07 12:36:10,2025-10-07 12:36:23,True,True
3516588,2025-10-07 20:03:44,5f333d48404316ffaf08f2ef65034c795c50cc7f8eae094875396f9fe692f873,8c5a1316e4f7021bdceff43e5165c4ab9f6c9b80b3ba0f7990988165e325a7cf,2025-10-07 20:03:34,2025-10-07 20:03:44,True,True
3518480,2025-10-10 09:25:55,23c1799b52b36a6f005b64890b23818d944bce219e581171f6d45a9d9c4568c9,5e4f090e4ba005c53e25b55d71b07e4ab4ec6463208a28058518ba7819633c27,2025-10-10 09:25:54,2025-10-10 09:25:55,True,True
3520017,2025-10-12 12:56:40,705a5df2327aad818e83985d5834755b98d8a909ff55bfb2550a978282c961e3,8701f47363a85a156ae09a467e7be1211c14ca5c8b54071c50c9e35f65d2183e,2025-10-12 12:56:39,2025-10-12 12:56:40,False,False
3520024,2025-10-12 13:11:00,0cb103fcecee65a868fc2caf92c9d308e9737ec7931889606ff683df7ae35f3b,343a4aaea1fece2198f3eba8bac9334d3f0b96e858d8837f2c86f71c2cb6f759,2025-10-12 13:10:58,2025-10-12 13:11:00,False,False
3520082,2025-10-12 15:02:40,b9b07024f4dfb61c0fa5812f134b3a4a5e972da6e1791d3282a2241c2b346daa,8eecf83a4320a45c883a40f0f7aaf6401d47496fc443c6550a3857674ece34c6,2025-10-12 15:02:26,2025-10-12 15:02:40,False,False
3521591,2025-10-14 17:13:04,391ebeb12b050423049ca4ed962a46e84c674e76a2d6298306b07c2ebc42698b,d1f2422157de284c2da6587ba03df5f9ac7c16ac877b0e55dfd1dcda3a98be21,2025-10-14 17:11:06,2025-10-14 17:13:04,False,False
3521638,2025-10-14 19:18:41,d7b06c5ed2a18724e6c4bc5a0e9f5d5cf934f1806cb948325d60ac7cfc7db3fb,6a3c6f652315410b40faeb6facd2643e522b78d93cc44dab866eb9fe8b368313,2025-10-14 19:18:39,2025-10-14 19:18:41,False,False
