subset,configurations,period_count,total_duration_hours,alpha,target_rate_normalized_yield,yield_minus_alpha,main_chain_share,baseline_hour_recall,baseline_hour_extra_ratio,configurations_below_alpha
baseline,1,10.0,430.0,0.283301819130208,0.2510852713178295,-0.03221654781237854,0.25747217806041334,1.0,0.0,1
near_baseline,12,10.0,403.0,0.28720545400676056,0.2559389476062819,-0.03126650640047868,0.26283217691183614,0.9372093023255814,0.0,12
min_orphans_per_hour_at_least_2,60,12.0,387.5,0.28916257009954965,0.25815330801860975,-0.03095765376516893,0.26506287603388645,0.9011627906976745,0.0,60
all_grid,80,12.0,415.0,0.2859548083468722,0.2551004016064257,-0.03095765376516893,0.2609242978442038,0.9558139534883721,0.0,80
