alpha,honest_mining,classical_selfish_mining,conservative_release,gamma
0.001,0.001,3.995006993011992e-06,3.995005992012986e-06,0.0
0.002,0.002,1.596011177676685e-05,1.5960095744830216e-05,0.0
0.003,0.003,3.586556530772846e-05,3.586548406544655e-05,0.0
0.004,0.004,6.368178488100598e-05,6.368152786102033e-05,0.0
0.005,0.005,9.937935331180546e-05,9.937872520204137e-05,0.0
0.006,0.006,0.00014292901812538943,0.00014292771439465234,0.0
0.007,0.007,0.00019430169075550262,0.00019429927306205638,0.0
0.008,0.008,0.00025346844575122176,0.0002534643172349451,0.0
0.009000000000000001,0.009000000000000001,0.0003204005199921894,0.000320393900450882,0.0
0.010000000000000002,0.010000000000000002,0.0003950693119121926,0.0003950592128625777,0.0
0.011,0.011,0.0004774463807310456,0.00047743158035499307,0.0
0.012,0.012,0.0005675034456947428,0.000567482463671211,0.0
0.013000000000000001,0.013000000000000001,0.0006652123853238389,0.0006651834575470107,0.0
0.014000000000000002,0.014000000000000002,0.0007705452366700257,0.0007705062898540905,0.0
0.015,0.015,0.0008834741945808677,0.0008834228207518766,0.0
0.016,0.016,0.001003971610972662,0.0010039050418478614,0.0
0.017,0.017,0.001132009994111389,0.0011319250753664097,0.0
0.018000000000000002,0.018000000000000002,0.0012675620079017212,0.0012674551733259868,0.0
0.019000000000000003,0.019000000000000003,0.0014106004711840609,0.00141046771672474,0.0
0.02,0.02,0.0015610983570395667,0.0015609352147343922,0.0
0.021,0.021,0.0017190287921031579,0.0017188303039023843,0.0
0.022000000000000002,0.022000000000000002,0.0018843650558844388,0.0018841257473622192,0.0
0.023,0.023,0.0020570805800965448,0.0020567944340519543,0.0
0.024,0.024,0.0022371489479928596,0.0022368093779407943,0.0
0.025,0.025,0.0024245438937115903,0.0024241437172637307,0.0
0.026000000000000002,0.026000000000000002,0.0026192393016281684,0.002618770713764179,0.0
0.027000000000000003,0.027000000000000003,0.002821209205715455,0.0028206637519445745,0.0
0.028,0.028,0.0030304277889117194,0.003029796338324869,0.0
0.029,0.029,0.0032468693824963843,0.0032461421007088874,0.0
0.030000000000000002,0.030000000000000002,0.00347050846547349,0.003469674787458497,0.0
0.031,0.031,0.0037013196639628767,0.003700368266775551,0.0
0.032,0.032,0.003939277750599065,0.003938196525991558,0.0
0.033,0.033,0.004184357643937794,0.004183133670865026,0.0
0.034,0.034,0.004436534407870217,0.004435153924886469,0.0
0.035,0.035,0.004695783251044737,0.004694231628590995,0.0
0.036000000000000004,0.036000000000000004,0.004962079526296455,0.004960341238878468,0.0
0.037000000000000005,0.037000000000000005,0.005235398730084212,0.005233457328341191,0.0
0.038,0.038,0.0055157165019352325,0.005513554584599073,0.0
0.039,0.039,0.00580300862389733,0.005800607809642251,0.0
0.04,0.04,0.006097251019998662,0.0060945919191811105,0.0
0.041,0.041,0.006398419755715047,0.006395481942003691,0.0
0.042,0.042,0.006706491037444805,0.0067032530193404435,0.0
0.043000000000000003,0.043000000000000003,0.007021441211991119,0.007017880404236271,0.0
0.044000000000000004,0.044000000000000004,0.007343246766051919,0.007339339460929873,0.0
