setting,min_orphans_per_hour,min_duration_hours,merge_gap_hours,config_id,period_count,total_duration_hours,total_blocks,main_chain_blocks,expected_main_chain_blocks,qubic_blocks,qubic_main_chain_blocks,alpha,target_rate_normalized_yield,yield_minus_alpha,main_chain_share,baseline_hour_jaccard,baseline_hour_recall,baseline_hour_extra_ratio
loose_threshold,1,4,6,t1_d4_g6,14,476.0,16859,14029,14280.0,4779,3630,0.2834687703897028,0.2542016806722689,-0.029267089717433914,0.25874973269655716,0.9033613445378151,1.0,0.10697674418604651
short_duration,2,2,6,t2_d2_g6,13,450.0,15951,13141,13500.0,4497,3362,0.28192589806281737,0.24903703703703703,-0.03288886102578034,0.25584049920097407,0.9555555555555556,1.0,0.046511627906976744
small_merge_gap,2,4,2,t2_d4_g2,11,425.0,15168,12420,12750.0,4327,3226,0.2852716244725738,0.25301960784313726,-0.03225201662943655,0.25974235104669885,0.9883720930232558,0.9883720930232558,0.0
baseline,2,4,6,t2_d4_g6,10,430.0,15337,12580,12900.0,4345,3239,0.283301819130208,0.2510852713178295,-0.03221654781237854,0.25747217806041334,1.0,1.0,0.0
long_duration,2,8,6,t2_d8_g6,10,411.0,14709,12019,12330.0,4214,3153,0.28649126385206336,0.2557177615571776,-0.030773502294885735,0.26233463682502706,0.9558139534883721,0.9558139534883721,0.0
higher_threshold,3,4,6,t3_d4_g6,10,391.0,14058,11420,11730.0,4052,3012,0.28823445724854174,0.2567774936061381,-0.031456963642403635,0.2637478108581436,0.9093023255813953,0.9093023255813953,0.0
strict_threshold,4,4,6,t4_d4_g6,16,302.0,11157,8826,9060.0,3516,2614,0.3151384780855069,0.28852097130242826,-0.026617506783078615,0.2961704056197598,0.7023255813953488,0.7023255813953488,0.0
