interval,inter_window,start,end,alpha,observed_yield,counterfactual_yield,daa_windfall_blocks,observed_minus_alpha,counterfactual_minus_alpha
G1,P1->P2,2025-08-12 07:00:00,2025-08-14 14:00:00,0.20047309284447073,0.2012121212121212,0.1711891396558042,49.537919567923026,0.0007390283676504683,-0.02928395318866653
G2,P2->P3,2025-08-14 18:00:00,2025-08-21 14:00:00,0.279322853688029,0.2717479674796748,0.2717479674796748,0.0,-0.007574886208354226,-0.007574886208354226
G3,P3->P4,2025-08-22 01:00:00,2025-08-25 15:00:00,0.23622963537626065,0.2313953488372093,0.2289549622696084,6.296197344410258,-0.004834286539051352,-0.007274673106652252
G4,P4->P5,2025-08-26 08:00:00,2025-08-28 12:00:00,0.21018697614442294,0.2032051282051282,0.20159124098317177,2.517664066252039,-0.006981847939294739,-0.008595735161251172
G5,P5->P6,2025-08-29 09:00:00,2025-08-30 14:00:00,0.23387978142076501,0.24482758620689654,0.22916576652326978,13.625783124755289,0.010947804786131526,-0.004714014897495233
G6,P6->P7,2025-08-31 17:00:00,2025-09-01 14:00:00,0.18972895863052783,0.2015873015873016,0.1811568488129611,12.87118524783451,0.011858342956773765,-0.008572109817566731
G7,P7->P8,2025-09-02 13:00:00,2025-09-04 17:00:00,0.1891891891891892,0.1955128205128205,0.1691543737454983,41.11917695702263,0.006323631323631312,-0.0200348154436909
G8,P8->P9,2025-09-15 04:00:00,2025-09-18 12:00:00,0.2290480065093572,0.22541666666666665,0.17228325276045894,127.52019337489858,-0.0036313398426905397,-0.05676475374889825
G9,P9->P10,2025-09-19 08:00:00,2025-10-06 00:00:00,0.21213385629641993,0.21116666666666667,0.21116666666666667,0.0,-0.0009671896297532567,-0.0009671896297532567
G10,P10->end,2025-10-07 13:00:00,2025-10-17 23:59:50,0.19912733042443476,0.19960380260959062,0.1719413837893232,208.29570851504536,0.0004764721851558684,-0.027185946635111563
